barracks_status_dire,barracks_status_radiant,dire_score,duration,first_blood_time,radiant_score,radiant_win,start_time,tower_status_radiant,match_id,player_slot,ability_upgrades_arr,account_id,assists,deaths,denies,gold_per_min,gold_spent,hero_damage,hero_healing,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,item_neutral,kills,last_hits,personaname,level,net_worth,tower_damage,xp_per_min,isRadiant,win,kills_per_min,kda,total_gold,total_xp
0,51,36,2957,108,44,True,1701309917,390,7464967448,0,"['tinker_rearm', 'dark_seer_vacuum', 'lina_light_strike_array', 'snapfire_firesnap_cookie']",,14,8,11,497,22285.0,15933.0,0.0,Necrophos,125,50,204,223,119,232,300,5,205,,24,21866,5843.0,687,True,1,0.10145417653026717,2.11,24493,33857
0,51,36,2957,108,44,True,1701309917,390,7464967448,1,"['earthshaker_enchant_totem', 'life_stealer_rage', 'warlock_rain_of_chaos', 'drow_ranger_multishot']",,10,5,29,738,32670.0,62098.0,0.0,Pangolier,141,123,110,235,108,141,381,17,374,,25,33394,21075.0,807,True,1,0.3449442002029084,4.5,36371,39771
0,51,36,2957,108,44,True,1701309917,390,7464967448,2,"['earthshaker_aftershock', 'necrolyte_death_pulse', 'lina_dragon_slave', 'lina_laguna_blade']",94170201.0,18,11,2,511,20520.0,22296.0,6948.0,Warlock,29,226,100,235,114,77,290,5,223,things85,23,20403,571.0,611,True,1,0.10145417653026717,1.92,25183,30112
0,51,36,2957,108,44,True,1701309917,390,7464967448,3,"['skywrath_mage_concussive_shot', 'skywrath_mage_mystic_flare', 'spectre_spectral_dagger', 'tinker_laser']",111762734.0,17,7,5,339,14335.0,39715.0,1652.0,Lina,267,218,226,36,108,180,336,5,68,凋零,22,15475,451.0,554,True,1,0.10145417653026717,2.75,16707,27302
0,51,36,2957,108,44,True,1701309917,390,7464967448,4,"['hoodwink_sharpshooter', 'warlock_shadow_word', 'lina_fiery_soul', 'drow_ranger_frost_arrows']",114847546.0,5,5,11,665,24035.0,30155.0,0.0,Drow Ranger,160,63,249,65,263,108,309,10,262,DMG,27,28488,4065.0,740,True,1,0.20290835306053434,2.5,32773,36469
0,51,36,2957,108,44,True,1701309917,390,7464967448,128,"['pangolier_gyroshell', 'pangolier_lucky_shot', 'spectre_desolate', 'snapfire_lil_shredder']",,15,7,9,555,25500.0,30311.0,0.0,Snapfire,141,166,263,147,168,50,309,5,342,,25,24073,12840.0,714,False,0,0.10145417653026717,2.5,27352,35188
0,51,36,2957,108,44,True,1701309917,390,7464967448,129,"['life_stealer_feast', 'pangolier_swashbuckle', 'necrolyte_reapers_scythe', 'life_stealer_ghoul_frenzy']",421821.0,11,7,1,626,28095.0,28041.0,0.0,Dark Seer,208,1466,1097,73,135,48,309,13,261,Grondo,25,26783,6380.0,716,False,0,0.26378085897869463,3.0,30851,35286
0,51,36,2957,108,44,True,1701309917,390,7464967448,130,"['warlock_fatal_bonds', 'skywrath_mage_ancient_seal', 'drow_ranger_marksmanship', 'earthshaker_fissure']",909681568.0,16,11,4,318,10410.0,11332.0,0.0,Skywrath Mage,218,40,37,29,235,232,289,3,87,kloppi,20,12124,179.0,444,False,0,0.0608725059181603,1.58,15672,21881
0,51,36,2957,108,44,True,1701309917,390,7464967448,131,"['life_stealer_infest', 'necrolyte_heartstopper_aura', 'skywrath_mage_arcane_bolt', 'pangolier_shield_crash']",104799808.0,21,5,2,586,19310.0,64957.0,0.0,Tinker,114,137,77,108,48,37,289,5,297,"Good game, well played",26,25790,0.0,719,False,0,0.10145417653026717,4.33,28880,35434
0,51,36,2957,108,44,True,1701309917,390,7464967448,132,"['dark_seer_ion_shell', 'dark_seer_surge', 'dark_seer_wall_of_replica', 'spectre_dispersion']",74152970.0,21,14,5,578,21340.0,62654.0,0.0,Spectre,1,114,127,108,50,172,638,10,225,okra,25,20841,3002.0,701,False,0,0.20290835306053434,2.07,28485,34547
63,0,45,3591,0,36,False,1701302867,0,7464901645,0,"['dark_willow_shadow_realm', 'dazzle_bad_juju', 'dazzle_shadow_wave', 'spectre_desolate']",,12,10,9,638,36330.0,84832.0,6132.0,Dark Willow,249,63,123,263,166,116,309,9,413,,28,28743,1726.0,764,True,0,0.15037593984962405,1.91,38184,45725
63,0,45,3591,0,36,False,1701302867,0,7464901645,1,"['lone_druid_spirit_link', 'huskar_burning_spear', 'huskar_berserkers_blood', 'huskar_life_break']",,8,8,21,606,30300.0,50625.0,1013.0,Doom,151,116,249,208,63,1,297,15,379,,28,28950,3024.0,958,True,0,0.2506265664160401,2.56,36269,57336
63,0,45,3591,0,36,False,1701302867,0,7464901645,2,"['sniper_assassinate', 'troll_warlord_whirling_axes_ranged', 'troll_warlord_whirling_axes_melee', 'kunkka_tidebringer']",184569195.0,15,9,14,557,29375.0,26406.0,0.0,Kunkka,249,141,141,108,141,50,311,3,437,omn003,25,29825,0.0,619,True,0,0.05012531328320802,1.8,33336,37047
63,0,45,3591,0,36,False,1701302867,0,7464901645,3,"['sniper_take_aim', 'weaver_the_swarm', 'weaver_time_lapse', 'spectre_spectral_dagger']",109125055.0,9,11,6,521,23645.0,29169.0,0.0,Lone Druid,147,1466,263,75,160,63,336,5,345,sixsmith,27,25874,2962.0,666,True,0,0.0835421888053467,1.17,31181,39860
63,0,45,3591,0,36,False,1701302867,0,7464901645,4,"['kunkka_torrent', 'warlock_fatal_bonds', 'warlock_shadow_word', 'warlock_rain_of_chaos']",172752126.0,20,9,4,371,18145.0,30569.0,18031.0,Warlock,108,254,231,36,90,218,311,3,149,kalientris,26,18088,2038.0,619,True,0,0.05012531328320802,2.3,22204,37047
63,0,45,3591,0,36,False,1701302867,0,7464901645,128,"['sniper_shrapnel', 'weaver_geminate_attack', 'dazzle_poison_touch', 'dark_willow_terrorize']",,19,6,9,608,29640.0,47235.0,596.0,Dazzle,123,250,160,149,63,263,571,9,337,,29,36624,11087.0,739,False,1,0.15037593984962405,4.0,36388,44229
63,0,45,3591,0,36,False,1701302867,0,7464901645,129,"['spectre_dispersion', 'doom_bringer_devour', 'doom_bringer_scorched_earth', 'doom_bringer_doom']",3950571.0,15,9,5,773,45780.0,51702.0,0.0,Spectre,147,137,121,48,600,114,2192,6,468,|| Danny ,29,37620,2543.0,857,False,1,0.10025062656641603,2.1,46264,51291
63,0,45,3591,0,36,False,1701302867,0,7464901645,130,"['dark_willow_bramble_maze', 'huskar_inner_fire', 'weaver_shukuchi', 'leshrac_pulse_nova']",74152970.0,21,5,4,684,30970.0,56623.0,0.0,Huskar,123,119,235,121,273,30,300,14,289,okra,30,39666,730.0,774,False,1,0.23391812865497075,5.83,40937,46323
